ماه,نام کالا,وزن خالص فروش
خرداد,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,104
خرداد,وکیوم بیکن ران بوقلمون 300gr(98درصد),100
خرداد,کالباس گوشت تنوری کیکی (90درصد گوشت),97
خرداد,وکيوم کالباس سالامي 300gr (90درصد گوشت),89
خرداد,وکيوم کالباس مرغ و قارچ 300gr (60درصد),86
خرداد,وکيوم سوسيس کوکتل شکاري پلاس (90درصد گوشت),85
خرداد,کارد برد کالباس گوشت تنوري 250gr (90درصد گوشت),85
خرداد,فيله بوقلمون فرآوري شده اسپايسي (98درصد),82
خرداد,کارد برد کالباس مرغ تنوري 250gr (90درصد مرغ),80
خرداد,کالباس خشک ممتاز خانواده 500gr (70درصد گوشت),78
خرداد,توری هات داگ آلمانی 500gr(40درصد),75
خرداد,کالباس مرغ خانواده 500gr(70درصد),73
خرداد,وکیوم بال مرغ 300gr(98درصد),73
خرداد,وکيوم کالباس خشک 300gr (60درصد گوشت),71
خرداد,توری کوکتل رویال 500gr(70درصد),71
خرداد,دارفرش بیکن ران بوقلمون 250gr(98درصد),66
خرداد,وکيوم سوسيس کوکتل رويال (70درصد گوشت),66
خرداد,توری کوکتل پنیر 500gr(55درصد),63
خرداد,کالباس مرغ خانواده 500gr(90درصد),63
خرداد,وکيوم سوسيس ساليکسو (90درصد گوشت),60
خرداد,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),57
خرداد,توری کوکتل دودی 500gr(70درصد ),57
خرداد,رولت مخلوط (98درصد گوشت قرمز و بوقلمون),57
خرداد,توری هات داگ رویال 500gr(70درصد),56
خرداد,سوسيس کبابي  (90درصد گوشت),55
خرداد,دارفرش بیکن مخلوط 250gr(97.5درصد),53
خرداد,وکيوم سوسيس کوکتل پنير (55درصد گوشت),52
خرداد,دارفرش کالباس نوروزی 250gr (90درصد گوشت),52
خرداد,وکيوم 200gr کالباس گوشت تنوري (90درصد گوشت),51
خرداد,دارفرش بیکن گوساله 250gr(97درصد),49
خرداد,توری هات داگ پنیر 500gr(55درصد),48
خرداد,وکیوم هندران 300 گرمی (98درصد ران بوقلمون),43
خرداد,ساندویج  گوشت 70%,41
خرداد,ساندویج  مرغ 70%,41
خرداد,کالباس گوشت خانواده 500gr (90درصد),40
خرداد,وکیوم سوسيس کوکتل دودي (70درصد گوشت),35
